die Ecke, -n	An der nächsten Ecke links. Turn left at the next corner.
die Ehefrau, -en/der Ehemann, -ä, er	Das ist mein (Ehe-) Mann/meine (Ehe-) Frau. This is my (married) man/my (married) woman.
das Ei, -er	Möchtest du ein Ei zum Frühstück? Would you like an egg for breakfast?
eilig	Hast du es eilig? Are you in a hurry?
ein-(1)	Ich nehme ein Bier. Willst du auch eins? I'll have a beer. Do you want one too?
ein-(2)	Ist hier einer, der das kann? Is there someone here who can do that?
einfach(1)	Die Prüfung ist ganz einfach. The exam is very simple.
einfach(2)	Hin und zurück? – Nein, bitte nur einfach. Round trip? – No, just one way, please.
einfach(3)	Ich brauche nur ein einfaches Zimmer. I only need a simple room.
der Eingang	Der Eingang ist um die Ecke. The entrance is around the corner.
einkaufen	Ich muss noch für morgen einkaufen. I still need to shop for tomorrow.
einladen	Darf ich Sie zu einem Kaffee einladen? May I invite you for a coffee?
die Einladung	Danke für die Einladung! Thank you for the invitation!
einmal	Diese Prüfung mache ich nicht noch einmal. I won't take this exam again.
einsteigen	Schnell, steig ein, der Zug fährt gleich. Quick, get in, the train is leaving soon.
der Eintritt	Der Preis für den Eintritt ist 5 Euro. The entrance fee is 5 euros.
das Einzelzimmer	Haben Sie noch ein Einzelzimmer? Do you have a single room available?
die Eltern (pl.)	Meine Eltern leben in Spanien. My parents live in Spain.
die E-Mail, -s	Ich habe Ihre E-Mail nicht bekommen. I didn’t receive your email.
der Empfänger, –	Auf dem Brief steht dein Name, also bist du der Empfänger. Your name is on the letter, so you are the recipient.
empfehlen	Welchen Wein können Sie mir empfehlen? Which wine can you recommend to me?
enden	Die Straße endet hier. The street ends here.
das Ende(1)	Sie wohnt am Ende der Straße. She lives at the end of the street.
das Ende(2)	Er bekommt sein Geld am Ende des Monats. He gets his money at the end of the month.
entschuldigen	Entschuldigen Sie bitte! Please excuse me!
die Entschuldigung	Entschuldigung! – Bitte. Apologies! – Please.
er	Er heißt Ali. His name is Ali.
das Ergebnis, -se	Das Ergebnis des Tests bekommen Sie in zwei Wochen. You will receive the test results in two weeks.
erklären	Kannst du mir das erklären? Can you explain that to me?
erlauben	Rauchen ist hier nicht erlaubt. Smoking is not allowed here.
der Erwachsene, -n	Dieser Film ist nur für Erwachsene. This movie is for adults only.
erzählen	Wir müssen euch etwas erzählen! We need to tell you something!
es	Es regnet. It is raining.
essen	Was gibt es zu essen? What is there to eat?
das Essen	Das Essen ist heute sehr gut. The food is very good today.
euer	Euer Kurs beginnt heute. Your course starts today.
