fahren	Ich fahre mit dem Auto zur Arbeit. I drive to work by car.
der Fahrer	Bitte nicht mit dem Fahrer sprechen! Please do not speak with the driver!
die Fahrkarte, -n	Hast du schon eine Fahrkarte? Do you already have a ticket?
das Fahrrad, -ä, er	Fährst du mit dem Fahrrad oder mit dem Auto? Do you ride a bicycle or drive a car?
falsch	Das ist falsch. That is incorrect.
die Familie, -n	Meine Familie lebt in Spanien. My family lives in Spain.
der Familienname	Meine Familiennamen sind García González. My family names are García González.
der Familienstand	Bei „Familienstand“ musst du „ledig“ ankreuzen. For "marital status," you need to check "single."
die Farbe, -n	Die Farbe gefällt mir gut. I like the color.
das Fax, -e	Schicken Sie uns einfach ein Fax! Just send us a fax!
Feier-(1)	z. B. Feierabend, Feiertag For example, end of work, public holiday
Feier-(2)	Am Montag ist Feiertag. On Monday is a public holiday.
feiern	Wir feiern heute meinen Geburtstag. We are celebrating my birthday today.
fehlen(1)	Herr Müller ist nicht da, er fehlt schon seit drei Tagen. Mr. Müller is not here; he has been missing for three days.
fehlen(2)	Was fehlt Ihnen? What is missing?
der Fehler, –	Diesen Fehler mache ich immer. I always make this mistake.
fernsehen	Wollen wir heute Abend mal fernsehen? Shall we watch TV tonight?
fertig(1)	Bist du fertig? Are you ready?
fertig(2)	Ist mein Auto schon fertig? Is my car ready yet?
das Feuer	Haben Sie Feuer? Do you have a light?
das Fieber	Mein Mann hat noch immer Fieber. My husband still has a fever.
der Film, -e	Ich möchte gern diesen Film sehen. I would like to see this film.
finden	Wir müssen den Schlüssel finden. We need to find the key.
die Firma	Er arbeitet jetzt bei einer anderen Firma. He now works at another company.
der Fisch, -e	Ich esse gern Fisch. Fleisch mag ich nicht. I like to eat fish. I don’t like meat.
die Flasche, -n	Eine Flasche Bier, bitte. A bottle of beer, please.
das Fleisch	Fleisch mag ich nicht. I don’t like meat.
fliegen	Ich fliege nicht gern. Deshalb fahre ich mit dem Zug. I don’t like flying. That’s why I take the train.
abfliegen	Wann fliegst du ab? When do you depart?
der Abflug	Der Abflug ist um 11.20 Uhr. The departure is at 11:20.
der Flughafen	Kannst du mich zum Flughafen bringen? Can you take me to the airport?
das Flugzeug	Das Flugzeug aus Berlin kommt heute später an. The plane from Berlin will arrive later today.
das Formular, -e	Sie müssen dieses Formular ausfüllen. You need to fill out this form.
das Foto, -s	Darf ich ein Foto machen? May I take a photo?
fragen	Er möchte Sie etwas fragen. Wann kommen Sie? He would like to ask you something. When are you coming?
die Frage, -n	Ich habe eine Frage. I have a question.
die Frau, -en(1)	Das ist Frau Becker. This is Mrs. Becker.
die Frau, -en(2)	Guten Tag, Frau Schmitt! Good day, Mrs. Schmitt!
die Frau, -en(3)	Hier arbeiten mehr Frauen als Männer. More women than men work here.
frei	Ist der Platz noch frei? Is the seat still free?
die Freizeit	In meiner Freizeit spiele ich oft Fußball. In my free time, I often play soccer.
fremd	Das weiß ich nicht; ich bin fremd hier. I don’t know; I’m a stranger here.
(sich) freuen	Ich freue mich auf den Urlaub. I am looking forward to the vacation.
der Freund, -e(1)	Das ist ein Freund von mir. This is a friend of mine.
der Freund, -e(2)	Das ist meine Freundin. This is my girlfriend.
früher	Früher waren wir oft zusammen im Kino. We used to go to the movies together often.
frühstücken	Am Sonntag frühstücke ich gern im Bett. On Sundays, I like to have breakfast in bed.
das Frühstück	Möchtest du ein Ei zum Frühstück? Would you like an egg for breakfast?
die Führung	Die Führung durch das Haus beginnt in 3 Minuten. The tour of the house begins in 3 minutes.
für	Das ist für Sie. This is for you.
für(2)	Das ist der Schlüssel für die Haustür. This is the key for the front door.
für(3)	Das ist das Brot für morgen. This is the bread for tomorrow.
der Fuß, -ü, e	Der linke Fuß tut mir weh. My left foot hurts.
der Fußball	Spielt ihr gerne Fußball? Do you like to play soccer?
