das Haar, -e	Sie hat lange Haare. She has long hair.
haben	Ich habe ein neues Auto. I have a new car.
das Hähnchen, -	Ein Hähnchen mit Pommes bitte! A chicken with fries, please!
die Halbpension	Möchten Sie Vollpension oder Halbpension? Would you like full board or half board?
die Halle	Wir treffen uns in Halle B. We are meeting in Hall B.
hallo	Hallo Inge! Wie geht’s? Hello Inge! How are you?
halten	Dieser Zug hält nicht in Rüdesheim. This train does not stop in Rüdesheim.
die Haltestelle	An der nächsten Haltestelle müssen Sie aussteigen. At the next stop, you need to get off.
die Hand, -ä, e	Er gibt mir die Hand. He shakes my hand.
das Handy, -s	In der Schule bitte die Handys ausmachen! Please turn off the mobile phones at school!
das Haus, -ä, er(1)	In welchem Haus wohnst du? In which house do you live?
das Haus, -ä, er(2)	Ich gehe jetzt nach Hause. I’m going home now.
das Haus, -ä, er(3)	Paul ist nicht zu Hause. Paul is not at home.
die Hausaufgabe, -n	Kannst du mir bei den Hausaufgaben helfen? Can you help me with the homework?
die Hausfrau, -en/der Hausmann	Die Hausfrau/der Hausmann wäscht, kocht und kauft ein. The housewife/househusband washes, cooks, and shops.
die Heimat	Ich komme aus der Schweiz. Das ist meine Heimat. I come from Switzerland. That is my homeland.
heiraten	Meine Schwester heiratet einen Japaner. My sister is marrying a Japanese person.
heißen(1)	Ich heiße Charlotte Meier. My name is Charlotte Meier.
heißen(2)	Wie heißt das auf Deutsch? What is that called in German?
helfen	Können Sie mir helfen, bitte? Can you help me, please?
hell	Im Sommer ist es bis 21 Uhr hell. It is light until 9 PM in summer.
der Herd	In der neuen Küche fehlt noch der Herd. The stove is still missing in the new kitchen.
der Herr, -en	Guten Tag, Herr Sommer! Good day, Mr. Sommer!
herzlich	Herzlichen Glückwunsch! Best wishes!
heute	Heute ist ein schöner Tag. Today is a beautiful day.
hier(1)	Hier ist 06131-553221, Pamela Linke. Here is 06131-553221, Pamela Linke.
hier(2)	Hier wohne ich. This is where I live.
die Hilfe(1)	Hilfe! Bitte helfen Sie mir! Help! Please help me!
die Hilfe(2)	Brauchen Sie meine Hilfe? Do you need my help?
hinten	Die Tür zum Aussteigen ist hinten. The door to get out is at the back.
das Hobby, -s	Meine Hobbys sind Wandern und Schwimmen. My hobbies are hiking and swimming.
hoch	Der Mount Everest ist 8.880 Meter hoch. Mount Everest is 8,880 meters high.
die Hochzeit	Zur dieser Hochzeit kommen mehr als fünfzig Gäste. More than fifty guests are coming to this wedding.
holen	Ich hole zwei Flaschen Wasser aus der Küche. I will get two bottles of water from the kitchen.
hören(1)	Hör mal! Was ist das? Listen! What is that?
hören(2)	Ich habe das Lied schon mal gehört. I have heard that song before.
das Hotel, -s	Im Urlaub sind wir in einem Hotel am Meer. On vacation, we are staying in a hotel by the sea.
der Hund, -e	Der Hund ist noch jung. The dog is still young.
der Hunger	Ich habe Hunger! Wann ist das Essen fertig? I’m hungry! When is the food ready?
