oben	Ich wohne oben. I live upstairs.
das Obst	Im Sommer ist das Obst billig. In summer, the fruit is cheap.
oder	Wann können Sie kommen – heute oder morgen? When can you come – today or tomorrow?
öffnen	Ich öffne die Tür. I’m opening the door.
geöffnet	Der Laden ist samstags bis 16.00 Uhr geöffnet. The store is open until 4 p.m. on Saturdays.
oft	Petra treffe ich oft. I often meet Petra.
ohne(1)	Ohne Geld kann er nichts kaufen. Without money, he can’t buy anything.
ohne(2)	Den Salat machen wir ohne Öl. We make the salad without oil.
die Oma, -s	Meine Oma ist schon tot. My grandma is already dead.
der Opa, -s	Mein Opa heißt Hans. My grandpa’s name is Hans.
die Ordnung	Das ist in Ordnung. That’s all right.
der Ort, -e	Der Ort liegt am Meer. The place is by the sea.
